identifier,from,to,library,link,contents,schema,schema-location,anthol-lat-485c,anthol-lat-668,anthol-lat-719c,anthol-lat-806,suetonius-vita,ps-vacca-vita,prose-argumentum,scholia
MSS.MICRO/14731,,,BNE (Spain),https://bdh.bne.es/bnesearch/detalle/bdh0000060404,,,,,yes (4 lines),,,,,,yes
MSS.MICRO/16353,,,BNE (Spain),https://bdh-rd.bne.es/viewer.vm?id=0000023671&page=1,fragments?,,,,,,,,,,
G-III-6,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=895&query_desc=lucano,books 1-10,,,,yes,,yes,,,,
R-III-23,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=2076,books 1-5,,,,yes,,,,,,
M-II-8,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1442,,,,,,,,,,,
M-II-7,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1434,,,,,yes,,,,,,
e-III-14,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=661,,,,,yes,,,,,,
O-III-28,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1704,,,,,,,,,,,
Q-I-14,,,Escorial,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1894,fragments,,,,,,,,,,
"Codex San-Florianensis XI, 580",1001,1100,Stift St. Florian (Austria),https://w3id.org/vhmml/readingRoom/view/24801,,,,,,,,,,,
"Codex San-Florianensis XI, 581",1201,1300,Stift St. Florian (Austria),https://w3id.org/vhmml/readingRoom/view/24797,,,,,,,,,,,
"Codex San-Florianensis XI, 582",1002,1101,Stift St. Florian (Austria),https://w3id.org/vhmml/readingRoom/view/24804,,,,,,,,,,,
"Codex San-Florianensis XI, 586",1101,1300,Stift St. Florian (Austria),https://w3id.org/vhmml/readingRoom/view/24806,,,,,,,,,,,yes
Codex Voraviensis 33,,,Stift. Vorau (Autria),,1.92,,,,,,,,,,
Codex Voraviensis 189,1101,1200,Stift. Vorau (Autria),https://w3id.org/vhmml/readingRoom/view/7693,,,,,,,,,,,
Codex Claustroneoburgensis 1096,1301,1400,Stift. Klosterneuburg (Autria),https://w3id.org/vhmml/readingRoom/view/6361,,,,,,,,,,,
Codex Claustroneoburgensis 1095,1201,1300,Stift. Klosterneuburg (Autria),https://manuscripta.at/diglit/AT5000-1095/0001,fragments,,,,,,,,,,
Codex Mellicensis 1545 (938),1201,1300,Stift. Melk (Austria),https://manuscripta.at/diglit/AT6000-1545/0001,no,,,,yes,,,,,,
Codex Admontensis 685,1201,1300,Stift. Admont (Austria),https://manuscripta.at/diglit/AT1000-685/0001,1.1-9.794,no?,,,no,no,no,no,no,no,no
Codex Admontensis 128,1201,1300,Stift. Admont (Austria),https://manuscripta.at/diglit/AT1000-128/0001,fragments,,,,,,,,,,
Codex Scotensis-Vindobonensis 249,1301,1400,Schottenstift. Bibliothek (Austria),https://w3id.org/vhmml/readingRoom/view/4192,,,,,,,,,,,
Codex S. Petri Salisburgensis a V 41,1201,1300,Erzabtei St. Peter. Bibliothek (Austria),https://w3id.org/vhmml/readingRoom/view/10440,,,,,,,,,,,
Cod. 227,,,"Heiligenkreuz, Zisterzienserstift (Austria)",https://manuscripta.at/?ID=30390,fragments,,,,,,,,,,
Man. cart. 68,,,"Michaelbeuern, Benediktinerstift (Austria)",https://manuscripta.at/?ID=1375,fragments,,,,,,,,,,
Abt. 95 Nr. 123,1101,1200,"Bistumarchiv (Trier, Germany)",https://w3id.org/vhmml/readingRoom/view/72293,,,,,,,,,,,
msc 0035,1501,1600,Bremen,https://w3id.org/vhmml/readingRoom/view/492,,,,,,,,,,,
Cod. 199,,,Dombibliothek Köln ,https://digital.dombibliothek-koeln.de/urn/urn:nbn:de:hbz:kn28-3-887,no,no,,,,,,,,,yes
"Arxiu Capitular, MS 184",1001,1200,Catedral de Tortosa (Spain),https://w3id.org/vhmml/readingRoom/view/57338,,,,,,,,,,,
